company,address,city,telephone,type,description
CV. 3DTECH SOLUTION,"Nirwana Eksekutif Blok CC II no 178A, Jl. Wonorejo Permai Selatan II No 54",Surabaya • Jawa Timur,+62817221276,bahan-bangunan,"CV.3DTECH SOLUTION adalah Spesialist AUTOMATIC DOORS, AUTOMATIC GATE, PINTU OTOMATIS, PAGAR OTOMATIS, GARASI OTOMATIS, REMOTE PINTU PAGAR OTOMATIS , GERBANG OTOMATIS, MOTOR PAGAR OTOMATIS, MESIN PINTU OTOMATIS , Pagar Otomatis, Portal Otomatis, Palang Parkir Otomatis, Barrier Gate, HotelLock dan Security Lock system."
CV. Agro Industri Surabaya,"KAWASAN INDUSTRI GRESIK, JL. KIG SELATAN IV, NO. 11 GRESIK",SURABAYA • Jawa Timur,0313989496/082129847777/082129846666/0313980197/034,bahan-bangunan,""" CV. AGRO INDUSTRI SURABAYA "" Telp. 0313989496 , HP. 082129847777 , 082129846666 , Fax. 031 3980197, EMAIL: INDUSTRI2034@ GMAIL.COM , ALAMAT KANTOR: KAWASAN INDUSTRI GRESIK, JL. KIG SELATAN IV, NO.11, GRESIK 61121"
PT.HIKMAH JAYA SENTOSA,Jl Puskesmas No 36 kebagusan Pasar minggu jakarta selatan 12520 Indonesia,jakarta selatan •,02122783971/02122701404/085216738806/081333348897/083877511388/081283968279/081399026814,bahan-bangunan,"PT. HIKMAH JAYA SENTOSA adalah salah satu perusahaan penyedia komponen dan perangkat otomatisasi, dengan principal utama berada di Jepang. Perusahaan kami menawarkan harga yang kompetitif kepada seluruh pelanggan kami. Kami bangga dapat memberikan kepuasan kepada para pelanggan kami. Misi Kami PT. Hikmah Jaya Sentosa berusaha untuk memberikan pelayanan terbaik kepada pelanggan. Adapun merk-merk yang dapat kami supply, sebagai berikut : Hydraulic & Pneumatic: Atos, Rexroth, Nachi, Yuken, Daikin, SMC, Airtac dll Elektrik : Mitsubishi, Yaskawa, Toshiba, Hitachi, ABB, Omron, Delta, Scheiner, Allen Bradley, Siemens, GE Fanuc dll HMI : Proface, Mitsubishi, Allen Bradley, Siemens dll Alat Ukur : Imada, Mitutoyo, AIkoh, Shimpo dll Valve : YTC, Power Genex, Taiyo dll Gas Spring : Stabilus, Bansbach dll.Untuk informasi harga dan stok silahkan hubungi kami di bawah ini:PT. HIKMAH JAYA SENTOSAJL. Puskesmas No 36 Kebagusan Pasar Minggu Jakarta Selatan 12520 IndonesiaTelepon : 62-21 2278 3971Fax: : 62-21 2270 1404Ponsel : 0852 1673 8806Email : marketinghjs@imail.co.idEmail : hikmahjayasentosa@gmail.comEmail : hikmah_jayasentosa@yahoo.comWeb : www.hikmahjayasentosa.indonetwork.co.idPemasaran DeptSolihin Ponco : 0813 3334 8897 // 0838 7751 1388Rahmat Khaidir : 0812 8396 8279 // 0813 9902 6814"
PT. TIRIS GLOBAL INDONESIA,Jl. Hayam Wuruk 127 Gd LTC Glodok Lt.2 Blok C19 No. 5 Jakarta Barat,Jakarta barat • DKI Jakarta,081286925252/087721825252/02162201432,bahan-bangunan,"Selamat Datang Di Website Kami PT. TIRIS GLOBAL INDONESIA Kami Menjual Sparepart AC, Chiller dan Pendingin lainnya, Copper tube, Insulation Thermaflex, Superlon, Refrigerant R22 Dupont, R134A, R404A, R410A R407C, R417A R123. Compressor Copeland, Bristol, Danfoss Maneurop, Danfoss Performer Scroll, Daikin, Sanyo, Hitachi Panasonic, Mitsubishi, dll"
PT.Bintang Sriwijaya Indonesia,Jl.KH Moh Mansyur No.22B Jembatan Lima - Jakarta Pusat,Jakarta Pusat •,02163871114/0216317121/085921543235/081213128833,bahan-bangunan,"General Supplier untuk keperluan industri Garment dari kebutuhan untuk proses cutting sampai dengan finishing.Mesin Jahit, Mesin cutting, Meja gosok dan sebagainya. Spareparts mesin jahit, Accessories kebutuhan pabrik Garment; kertas marker Aspec, G"
"INTEGRA AUTOMA, CV","• Office : Jln. Piyungan - Prambanan Km 2,5 No. 23 Bantul, D.I. Yogyakarta, Jawa Tengah, Indonesia• Phone : 0821-3873-8007 (Call or WhatsApp)",YOGYAKARTA • Jawa Tengah,02744438362/082138738007,bahan-bangunan,CV Integra AutomaPerusahaan Pengadaan Barang dengan cakupan wilayah layanan di seluruh Indonesia khususnya di Bidang Mekanikal dan Electrikal Panel. Kami berdiri pada Tahun 2015 dengan badan hukum berdasarkan Akta pendirian Perseroan Ter
Aneka Cipta Filter,Delta Sari Indah AV 33,Sidoarjo • Jawa Timur,0318536552/089668059582/082139370532/082139370532,bahan-bangunan,"Menyediakan Aneka Filter Air dan Udara untuk kebutuhan Rumah Tangga , Perkantoran , dan Industri.
Untuk info lebih lanjut Hub :
* Office : Delta Sari Indah Av 33 Sidoarjo, Jawa Timur
* Telp : 031-8536552
* Phone : 0896-6805-9582
* Mobile : 0821-3937-0532
* WhatsApp : 0821-3937-0532
* Email : supplierfilterairsby@gmail.com / amarahasmar@gmail.com"
PT.SUMBER KENCANA MANDIRI,"Jl. Lele Raya No.mor 97, Bambu Apus, Pamulang, Kota Tangerang Selatan, Banten 15415",Tanggera selatan • Banten,081315874121,bahan-bangunan,"PROMO PEMBUATAN CANOPY,GARASI,ATAP SPANDEX.....BURUAN DI ORDER YAH.....!!!!"
Axia Prima Sejahtera,"Plaza Karinda Blok B1 No. 14, Jl. Karang Tengah Raya, Lebak Bulus,",Jakarta Selatan • DKI Jakarta,0217502301,bahan-bangunan,"PT. Axia Prima Sejahtera, adalah perusahaan yang bergerak dalam bidang sistem keamanan & produk berteknologi yang berkualitas tinggi, dapat dipercaya dan berstandard kelas dunia. Dimana penyedia produk kami adalah beberapa negara besar  seperti Jerman, Amerika, Canada, Denmark, Korsel, RRC, Jepang & Taiwan."
CV PRAMANA DWI JAYA,"Jl. Raya Bungkal Gg Sumur No 50C , RT 05/ RW 03 Sambikere",SURABAYA • Jawa Timur,0317409634/+6281233744374,bahan-bangunan,"PRAMANA DWI JAYA merupakan badan usaha resmi (memiliki SIUP dan TDP) berkedudukan di kota Surabaya dengan merk dagang ""PRAMANA BAJA"" yang bergerak dibidang jasa dan perdagangan serta supplai bahan/material bangunan, khususnya bahan bangunan yang berbahan dasar logam. Untuk&n"
PT Panca Jaya Teknik,"JL.lodan raya no.59D  ancol 
jakarta utara",Jakarta Utara • DKI Jakarta,0811912801,bahan-bangunan,"Kami menjual HYDRAULIC BREAKER MADE IN KOREA, Dengan HARGA KOMPETITIF. dan spare part  diaphragm, seal kit, Through bolt, inner bushing, outter bushing, chisel, moil point untuk breaker SOOSAN, JISUNG, SAGA, T&H, OKB, KH, DONYANG, YONDA, POWER KING, EVERDIGM, EDT, SANHA, MSB, AJCE,RHINO, DAEMO, FURUKAWA, NPK  KTR, MIRACLE. . KOMATSU JTHB 210-3,"
Detigainterior,"Jl. Soekarno Hatta Km. 5,5 Bok Kuning RT. 01 RW.05 Tahunan Jepara, Jawa Tengah - Indonesia",Jepara • Jawa Tengah,+622914299690,bahan-bangunan,"Perusahaan Kami adalah perusahaan yg bergerak dibidang perlengkapan kebutuhan furniture atau mebel , yang berbahan kayu mahoni atau mindi . Bisa berbagai model dari Shabby chic, french style , Scandinavia style, Rustic dll. 
PERCAYAKAN PERLENGKAPAN FURNITURE / MEBEL ANDA HANYA DI DETIGA INTERIOR . MEMBERIKAN  HARGA LOKAL KWALITAS EXPORT ."
PT. SARANA AGENT,"Komp Perkantoran Sunter Permai Blok b 11, Jl. Danau Sunter Utara Kav K2, SUNTER JAKARTA UTARA",Jakarta • DKI Jakarta,0216519582/021653058686400893,bahan-bangunan,"PT. SARANA TEKNIK AGENT PULLEY ,SPROCKET ,TAPER BUSH LOCK ,CHAIN ,POWER LOCK 
ROLLER CHAIN , CONVEYOR CHAIN, CONVEYOR BELT , UNIVERSAL JOINT, TIMMING PULLEY
TIMING PULLEY, HTD BELT, 
TEL.021- 6519582 FAX 021-65305868 - 6400893 EMAIL : saranagroup@cbn.net.id ATTN : RYAN DAN...bowo subowo"
CV. O2 SAFETY,Jl. Kebonsari IV No.15A,Surabaya • Jawa Timur,0318281710/088801648648/081216115677/081297879846/081249217677,bahan-bangunan,"Safety Shoes ( Merk. BLACK ANT, KING' S, CHEETAH, KENT, KRUSHER, HOWLER, RED WING' S, PINGUIN dll ) , Safety Equipment ( Merk BLUE EAGLE ; Merk. MSA ; Merk. 3M ; Merk. Protector ; Merk. CIG ; Merk. AO ; Masker MASKR dll ) , Safety Lock Out Tag Out ( LOTO ) Merk."
AGUNG HYDRAULIC MACHINERY,"Ir. Sukarno 54, batu",malang • Jawa Timur,0811369588/+62341462393,bahan-bangunan,"Kami adalah perusahaan manufaktur mesin2 hydraulic press.
Hubungi marketing kami untuk keterangan lebih lanjut."
PT. DAYA GUNA PUTRA ABADI,"Jl. Kemanggisan Ilir III No. 27 RT.007/RW.007, Kemanggisan Palmerah",Jakarta Barat •,0215320433/0215363439/081381308036,bahan-bangunan,"PT DAYA GUNA PUTRA ABADI, didirikan pada tanggal 08 Desember 2009 berdasarkan Akte Notaris Rusnaldy, SH. Perusahaan Kami bergerak dalam bidang ""PABRIKASI SEGALA MACAM JENIS TIANG LAMPU OCTAGONAL & BULAT "" yang berbahan baku material Besi, Baja dan Alumunium Casting.Tiang yang di produksi oleh Kami antara lain :

Tiang Lampu Penerangan Jalan Umum  ( PJU ) Octagonal / Pipa.
Tiang Lampu Penerangan Jalan umum Tenaga surya(PJU TS) Octagonal / Pipa.
Tiang Lampu Sorot ( Flood Lighting Pole ) Octagonal / Pipa.
Tiang Lampu Highmast ( Manual & Automatic Lowering System ). 
Tiang Lampu Taman / Antik  ( Decorative Pole ) Alumunium Casting.
Tiang Lampu Traffic ( Warning & Traffic Light Pole ) - Octagonal & Pipa
Tiang Penangkal Petir ( Lightning Pole ).
Tiang Listrik PLN dan Telkom.
Tiang CCTV dan Antena

Untuk mendukung hasil produksi tiang yang sesuai keinginan dan permintaan Client kamiPT. DAYA GUNA PUTRA ABADI memiliki Tenaga ahli yang berpengalaman dibidang Pabrikasi tiang tersebut Juga memiliki Mesin mesin pendukung produksi.PT. DAYA GUNA PUTRA ABADI Jl. Kemanggisan ilir III no 27 – Palmerah Jakarta Barat. Telp. : (021) 532 0433, 536 3431, 536 63827, 536 63826 Fax. : (021) 5363439 Email : marketing.dayaguna@yahoo.co.id Hp. : 0813 8130 8036"
CV. AGRO INDUSTRI SURABAYA,"KAWASAN INDUSTRI GRESIK, JL. KIG SELATAN IV/NO.11 RANDUAGUNG, GRESIK",SURABAYA • Jawa Timur,0313989496,bahan-bangunan,"CV. AGRO INDUSTRI adalah Manufaktur  Steel  Grating yang ada di Surabaya. Kami menyediakan Steel Grating dengan ukuran standart baik Serrated maupun Polos.
Kami dapat mengerjakan sesuai pesanan dengan Man Power yang cukup untuk mengejar Dead l"
PT HASTA KARYA TEKNIK,Jalan Raya Selang Jati No 56 RT 03 RW 03 Kampung Selang Jati Desa Wanajaya Kecamatan Cibitung Kabupaten Bekasi Jawa Barat Indonesia,Bekasi • Jawa Barat,+622189521669,bahan-bangunan,"Kami bergerak di bidang Electrical, Mechanical dan Fabrikasi untuk kebutuhan industri. Bidang electrical meliputi Pembuatan panel distribusi, repair electrical part sampai dengan pembuatan sistem automation menggunakan plc."
CV. Pelita Kencana,"Jl. A. Yani 590 
Desa Sumber Porong 
Jawa Timur 
Indonesia",Lawang - Malang • Jawa Timur,0341423870 / 427152 (fax) - 085230608800/08125212045/08999512045,bahan-bangunan,"Kami bergerak dalam bidang perdagangan, permbuatan sikat industri antara lain: 
 1. Sikat Strip, Sikat Coil model spiral, Sikat Dorong, Sikat kawat plintir / Sikat botol / Sikat pipa, Sikat Rol, Sikat Datar, Sikat Conveyor, dan kami menerima pesanan sikat kebutuhan usaha maupun sikat industri.
 
 Bahan yang kami gunakan: 
 Bahan dari bulu hewan: bulu kuda, bulu sapi, bulu hog ( bulu babi ) , Bulu kambing baik lokal maupun import.
 Bahan dari serat tanaman: Ijuk ( black palm arenga) , serat nanas, Tampico dan serabut / sabut kelapa.
 Bahan dari plastik filamen: PET, PP, PA6, PA610, PA612, PA66, PBT, PE dan Abrasive Nylon Filamnet / Tynex A
 Bahan dari kawat/ serabut logam: kawat kuningan, kawat stainless steel, kawat baja dan kawat galvanis.
 
 Kegunaannya adalah untuk penggosok, pembersihan, perawatan, dan sikat khusus sesuai dengan pesanan.
 
 Kami juga melayani pesanan produk dari beberapa merek sikat industri dari beberapa merk terkenal antara lain merk: UNION, WEILER, OSBORN, MINK BRUSTEN, LESSMANN dan lainya. Anda cukup lampirkan nomor kode barang pada permintaan penawaran harga atau email pada kami. Produk tersebut mencakup: 
 
 - Steel Wire Wheel brush, Cup Brushes, Dish Brushes, Wire Brushes with shank, Cup Brushes with Shankl, End Brushes, Tube Brushes, Polhising Brushes, Universal hand brushes, Grinding Disk, Strip brushes, Twist knotted brushes dan Abrasive Nylon Filament Brushes.
 
 Produk kami sudah digunakan beberapa perusahaan di seluruh pelosok tanah air Indonesia.
 
 Moto "" Kami memberikan solusi segala kebutuhan usaha anda dengan waktu pengerjaan yang cepat, produk berkualitas dan harga yang pantas"" 
 
 Kami menghargai setiap transaksi online dengan go green.
 
 "" Anda kecewa dengan layanan kami, beritahu kami, anda puas dengan layanan kami, beritahu pada rekanan anda"" ."
CV. Wijaya Mandiri,"jl imogiri timur km 9, jati Rt 06, Wonokromo, Pleret",bantul • Daerah Istimewa Yogyakarta,6281365364899,bahan-bangunan,kami adalah supplier untuk bambu batangan dan produk dari bambu
CV Pratama Sains Global,"PERUMAHAN CIMAHi CITY VIEW BLOK A NO.5 
 RT 01 RW 012
 PADAASIH,CISARUA
KAB.BANDUNG BARAT  JAWA BARAT",BANDUNG BARAT • Jawa Barat,085720595887,bahan-bangunan,"CV Pratama Sains Global merupakan perusahaan yang bergerak di bidang distributor alat-alat Laboratorium farmasi, Kami menyediakan Laboratori glassware dari berbagai merk seperti Pyrex, Schott Duran, merk lokal, Laboratory plasticware serta bahan kimia JT Baker, Merck, Tedia, RRC. Kami juga menyediak"
CV. ABDI_ NUSA,Jl. Sunan Prapen 16 Klangonan Kebomas Gresik,Gresik • Jawa Timur,085100559439/082143850549/083847020709,bahan-bangunan,"PERUSAHAAN KAMI BERGERAK DALAM BIDANG KEBUTUHAN INDUSTRI YANG MELIPUTI PENAMBANGAN BIJI PASIR DIANTARANYA PASIR VULKANIK, PASIR BESI, KAOLIN, DAN DOLOMITH, PASIR SILICA, TRAS, ZEOLITH DENGAN SPECIFIKASI SEBAGAI BERIKUT : * PASIR VULKANIK - Pasir Vulkanik dengan Mesh # 8 - # 24 yang"
PT JARUM MAS INDONESIA,"Sentra Industri Terpadu III Blok F20 dan 21, Dekat Elang Laut , Pantai Indah Kapuk,  JAKARTA UTARA",Jakarta Utara • DKI Jakarta,02156982888/02156983189/081218558322/08111188397/081219129739/08127507429,bahan-bangunan,"Solusi Kebutuhan Melaut Meraih Keuntungan Cari Lah Jarum Mas
-Produk berkualitas dengan harga yang kompetitif
-Variasi produk yang lengkap
-Gudang yang luas dengan stok yang lengkap
-Pengiriman Cepat
-Pelayanan yang profesional
_Jaringan luas di seluruh Indonesia"
PT SOLUSI JAYA,PT.Solusi Jaya Jl. Jend. Pol. RS soekanto No.34 Pondok kopi jakarta timur,Jakarta Timur • DKI Jakarta,081380713131,bahan-bangunan,"Kami merupakan perusahaan yang berdiri sejak 2003 bergerak dalam industri High pressure 100/1500bar, Kami berada di Jl. Jend. Pol. RS Soekamto No.34 Pondok kopi Jakarta Timur - Indonesia. Temukan berbagai produk terbaik kami PUMP HAWK, HYDROTEST PUMP, WATERJET CLEANING,PIPE CLEANING, HOSEREEL) dengan kualitas dan harga  terbaik."
"Sembilan Jaya Abadi, CV.",Jl. Pontianak 41,Gresik • Jawa Timur,081252414000,bahan-bangunan,"CV. SEMBILAN JAYA ABADI adalah perusahaan yang bergerak di bidang Penambangan : 
 1. Lime Stone / Batu Kapur / Batu Kethak / Batu Kalsium.
 2. Dolomit.
 3. Pasir Silica / Silica Sand / Pasir Kwarsa / Pasir Kuarsa.
 4. Batubara"
"PT. ADI RAYA MANDIRI ( Agent, Distributors, Stockist )",Jl. Pinang Raya No.70 Pondok Labu Cilandak,Jakarta Selatan • DKI Jakarta,021766374729042880/0217510595/08128143578/081219744882081281435780/081310878688/081288840351/081219597914,bahan-bangunan,"PT. ADI RAYA MANDIRI adalah perusahaan yang berkembang sangat pesat dalam bidang Industrial Automation System dan Electrical Components, Kami mampu memenuhi semua kebutuhan industri yang ada di Indonesia untuk pengadaan spare part produksi dan juga alat alat penunjang kerja lainnya seperti dibawah ini  :MAJOR BRANDS WE DEAL WITH :


ALLEN BRADLEY
ABB
DANFOSS
DELTA
EMERSON
FUJI ELECTRIC
HITACHI
HYUNDAI
LENZE
LS
MITSUBISHI
SCHNEIDER
SIEMENS
OMRON
PANASONIC
TOSHIBA
YASKAWA


 
HUMAN MACHINE INTERFACE :


FUJI POD
HAKKO
HITECH
KINCO
PRO-FACE
WEINTEK


CLUTCH AND BRAKES :

COREMO
MAYR
MIKI-PULLEY
MITSUBISHI
NIIKA
OGURA
SHINKO SINFONIA
SUNTES
ROTEX
TRUE ENGINE
WARNER


 
ENCODERS :


HEIDENHAIN
KOYO
NIDEC NEMICON
OMRON
PILZ
SUMTAK
TAMAGAWA SEIKI


 
SENSORS :


AUTONICS
AZBIL-YAMATAKE
IFM EFECTOR
IPF
KEYENCE
KFPS
KOYO
OMRON
PEPPERL+FUCS
RIKEN OPTECH
SUNX PANASONIC
TURCK


 
MEASURING INSTRUMENTS :


AIKOH
IMADA
MITUTOYO


 
 
TEMPERATURE CONTROLLERS :


ASAHI KEIKI
EMKO
FUJI ELECTRIC
OMRON
RKC INSTRUMENTS
SHINKO TECHNOS
TOHO
TOKY


 
PNEUMATIC & HYDRAULICS :


AIRTAC
CHANTO
CKD
KOGANEI
KURODA-PARKER
NACHI FUJIKOSHI
TACO-AZBIL
TAIYO
ROSS
YUKEN


 
kami siap untuk menjadi yang terbaik dalam mendukung semua kebutuhan produksi Anda dan menjadi salah satu mitra Anda yang terpercaya sebagai pemasok.Kami bersedia untuk menjadi salah satu pemasok terbaik Anda dan menjadi No.1 di Indonesia.Keuntungan dari pelayanan kami adalah sbb:

Harga yang kami tawarkan lebih bersaing Mutu dan keaslian barang terjamin
Barang dapat kami kirim sesuai dengan tanggal kebutuhan
Kemudahan dalam pembayaran

Untuk harga dan stok silahkan hubungi kami: PT. ADI RAYA MANDIRIJl. Pinang Raya No. 70 Pondok LabuJakarta Selatan 12450 IndonesiaTelp : 6221-7663747-29042880Fax : 6221-7510595Office Mobile : 08128143578 E-mail: adirama@indo.net.idE-mail: adirayamandiri@yahoo.co.idE-mail: ptadirayamandiri@yahoo.co.idHubungi sales kami :Lina : 081219744882 - 081281435780Dani : 081310878688Maya : 081288840351Sofyan : 081219597914"
MITRA KARYA,Pergudangan JJ Permata Jabon Blok A No. 17 dan Blok B No. 17 Tambak Sawah,Sidoarjo • Jawa Timur,0318684085,bahan-bangunan,"Bergerak Dalam Bidang Konstruksi, Pabrikasi Baja, Pembuatan Mesin, Matras dan Jasa Konstruksi."
OSCO Electrical,Jl  D No. 15 Asem BarisTebet - Jakarta 12830,Jakarta Selatan • DKI Jakarta,081284534888/087884764888,bahan-bangunan,OSCO Electrical.Email: Oscoelectrical@gmail.comPhone: +62 81284534888 / +62 87884764888
PT. KIMPO INDO TAMA.,Jln. Daan Mogot raya KM.21 Komplek Ruko Arcadia Blok.H12 No.3 Batu ceper Tangerang.marketing : 0812 79713388 & 081279723388,jakarta • DKI Jakarta,02129006750/081279713388/081279723388/082279499933/082185768889/082179990909/02129006750082279499933/082185768889,bahan-bangunan,"PT. Kimpo Indotama adalah perusahaan yang bergerak dibidang WATER TREATMENT MANAGEMENT, kontraktor, supplier & distributor kimia, peralatan laboratorium serta peralatan mekanik & elektrikal untuk berbagai macam industri.
PT. Kimpo Indotama merupakan perusahaan yang didukung oleh tenaga ahli berpengalaman & telah banyak berhubungan dengan Industri Pabrik Kelapa Sawit ( PKS) , industri makanan & minuman, tekstil, kimia, kayu, kertas ( Pulp & Paper) , karet, Perusahaan Listrik Tenaga Uap ( PLTU) dll.
Perusahaan kami juga merupakan perusahaan rancang bangun untuk Water Treatment Plant & Waste Water Treatment Plant ( WTP & WWTP) seperti pengolahan air bersih maupun air limbah, Reverse Osmosis ( RO) , demineralizer plant, softener plant, sand filter, pengeboran sumur dalam, jasa geolistrik serta pemasangan hot & cold insulation.
PT. Kimpo Indotama selalu mengutamakan pelanggan sebagai mitra kerja serta memberikan After Sales Service ( ASS) secara berkala untuk program Water Treatment Management. 
PT. KIMPO INDOTAMAJakarta Office : Jl. Daan Mogot Raya KM. 21 Komplek Ruko Arcadia Blok H12 No. 3 Batu Ceper - Tangerang.  Phone: 021-29006750, 081279713388, 081279723388email : kimpo1212@yahoo.comPalembang Office : Jl. Residen A. Rozak No. 5 Rt/Rw 01/01 Kel. Kalidoni Kec. Kalidoni Kota PalembangPhone : 0822 794 99933, 082185768889, 082179990909 Fax : 0711-315607 email : kimpo1212@yahoo.comHubungi kami : Isman Chen Nomor    : 021-29006750 - 0822 79499933 Email      : kimpo1212@yahoo.com  BBM       : 5873D71A LINE/ WA/ WeChat : 082185768889 Website : www.ptkimpoindotama.com www.kimpoindotama.com  http://kimpo.web.indotrading.com"
PT. TERMINAL KARYA CIPTA EMAS,"HARCO GLODOK, Lt 5 Blo B10 . Jl Hayam Wuruk No. 2 - 5 Mangga Besar, Kota Tua, Tamansari, Jakarta Barat, DKI Jakarta",JAKARTA BARAT • DKI Jakarta,08128554742,bahan-bangunan,"PT Terminal Karya Cipta Emas merupakan sebuah jawaban dari kebutuhan akan kualitas dan kecepatan layanan terhadap pelanggan. Kami menyediakan kebutuhan Sanitary Ware, Plumbing & Industrial Valve dengan kualitas harga dan term pembayaran yang bersaing.  Besar harapan kami menjadi mintra kerja Perusahaan anda kedepannya. Contact: 08128554742 Hendri."
PT Dunia Jaya Aircon,"Jl. Hayam Wuruk 127, Gedung LTC Glodok lantai UG blok B9 no. 5",Jakarta Barat • DKI Jakarta,02162308323,bahan-bangunan,"DUNIA JAYA AIRCON
 
 Kami selaku Specialist Air Conditioner dan Refrigeration Sparepart dari "" DUNIA JAYA AIRCON"" yang bergerak dibidang pendingin, baik Unit AC, Service dan Jasa Pemasangan ( AC cassette, split, split duct, floor standing, portable, celling, air curten, dll ) Dengan merk antara lain : ( Panasonic, Daikin, LG, Samsung, Sharp, Toshiba, Gree, Dast, Changhong, dll ) 
 
 Maupun Sparepart AC ( compressor Panasonic, Kulhtron, Copeland, danfoss Maneurop, Bristol, Kirby, Tecumseh, semihermatic, daikin, Mitsubishi, , Vacum Pump value, Vacuum Pump Robinair, Jet cleaner Kyowa, Steam Starwash, Cuper tube, dll ) 
 
 Untuk pengisian berupa ( Freon R22 Refrigerant, R22 Genetron, R22 Dupont, R410A Refrigerant, R410A Genetron, R410 Dupont, R407C Refrigerant, R407C Genetron, R407C Dupont, R404A Refrigerant, R404A Dupont, R404A Genetron, R134A Klea, R134 Refrigerant, R134 Dupont, R417 Dupont, R11 Refrigerant, R141b Refrigerant, R123 Dupont, dll )"
Raja Fiber Indonesia,Workshop 1Dk.Cebukan RT4 RW5 Ds.Sonorejo Kec.Grogol,Sukoharjo • Jawa Tengah,082136608248,bahan-bangunan,"SELAMAT DATANG ! di Sentra Kerajinan Water Park JAWA TENGAH Anda telah menemukan sebuah situs yang memberikan informasi terlengkap dan terupdate mengenai water park.Jika anda membutuhkan jasa kami dalam mengkonsep dan mendesain bisnis waterpark,  hubungi Raja Fiber  HP.0821 3660 8248 untuk membantu Anda merencanakan dan membangun bisnis waterpark."
PT. BERKAT TERANG DUNIA JAYA ABADI,"Komplek Rukan Sentra Niaga Blok P No. 7 Green Lake City, Duri Kosambi, Cengkareng, Jakarta Barat",Jakarta Barat •,02122543996,bahan-bangunan,"PT. BERKAT TERANG DUNIA JAYA ABADI merupakan Distributor Tabung Pemadam Kebakaran dan juga Supplier Fire Alarm di Jakarta, menjual Fire Alarm terlengkap. Kami juga menjual Fire Fighting Equipment dan Peralatan Pemadam Kebakaran lainnya. Kami Supplier Fire Protection terpercaya di Jakarta selalu memberikan yang terbaik untuk Anda."
MURIA PILAR ABADI,Jl.M.KAHFI I Gg.MENINJO NO.57  Rt 06 Rw.05 CIGANJUR JAGAKARSA JAKARTA SELATAN,Jakarta Selatan • DKI Jakarta,081384384874,bahan-bangunan,"PRODUCT RANGE : * HOT INSULATION - ROCKWOOL - CALSIUM SILICATE - GLASSWOOL - CERAMIC FIBER - ASBESTOS CLOTH - CEMENT * COLD INSULATION - FOAM GLASS - POLYURETANE - POLYSTERENE / STYROFOAM - POLYETHELENE - AEROFLEX - CEMENT - THERMAFLEX * REFRACTORY - CASTABLE - FIRE BRICKS * PARTITION & ACCOUSTIC - GIPSUM BOARD - CALSIBOARD - PROMAT - GLASS CLOTH - THERMACLOTH - HT 800 - BLACK TISSUE, Busa Telor . * ACCESSORIES - S/ S BAND' S CLIP - ALL BAND' S CLIP - MASTIC - ADHESIVE - AL * FOIL * SPINDLE PINS * ETC * METAL JACKETING - ALUMUNIUM SHEET * AL - CORRUGATED * STAINLESS GAVANIZED STEEL - - SOUNDPROOF - PEREDAM SUARA - PIPE SUPPORT / PENYANGGA PIPA"
CV. AGRO INDUSTRI SURABAYA,"KAWASAN INDUSTRI GRESIK, JL. KIG SELATAN IV, NO. 11 GRESIK, RANDUAGUNG, JAWA TIMUR",SURABAYA • Jawa Timur,0313989496/0313980197/082129846666/082129847777/034,bahan-bangunan,"DIVISI TIMAH HITAM SURABAYA - CV. AGRO INDUSTRI SURABAYA- TELP. 031 3989496, FAX. 0313980197, hp. 082129846666 , 082129847777 Email: industri2034@ gmail.com http: / / timahhitamsurabaya.indonetwork... PLAT TIMAH, Timah hitam ( LEAD SHEET)
Timah ini terbuat dari timah hitam dengan kadar ya"
CV Jangkar Utama / Jangkar Mas,"• Head Office : Jln. Tidar No. 149, Surabaya, Jawa Timur, Indonesia• Branch Office : Jln. Bulu Indah 133-C Denpasar, Bali, Indonesia• Phone : 081-8300-054 / 0812-329-7777 (Call or WhatsApp)",SURABAYA & BALI • Jawa Timur,0818300054/08123297777/03199242037/0315322334,bahan-bangunan,"Kami adalah distributor utama di Surabaya untuk produk kimia seperti Carbon Active DAVAO dari Philipine, Kami juga adalah agent tunggal HCA Holland Colours pigments, Iron Oxide Yipin, HCL/ Air Keras, Oxalic Acid, Terpentine, dan masih banyak yg lain. Segera hubungi kami, harga kami sangat kompetitif!"
